Start Time,End Time,Tag,Note,Tree Type,Is Success
Thu Jun 20 14:28:02 GMT+08:00 2019,Thu Jun 20 15:08:02 GMT+08:00 2019,Unset,,Bamboo,TRUE
Thu Jun 20 15:37:25 GMT+08:00 2019,Thu Jun 20 16:07:25 GMT+08:00 2019,Unset,,Bamboo,TRUE
Thu Jun 20 17:22:44 GMT+08:00 2019,Thu Jun 20 17:52:44 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Thu Jun 20 22:24:49 GMT+08:00 2019,Thu Jun 20 22:59:49 GMT+08:00 2019,Unset,,Octopus,TRUE
Thu Jun 20 23:29:19 GMT+08:00 2019,Thu Jun 20 23:59:19 GMT+08:00 2019,Unset,,Octopus,TRUE
Fri Jun 21 00:17:25 GMT+08:00 2019,Fri Jun 21 00:47:25 GMT+08:00 2019,Unset,,Octopus,TRUE
Fri Jun 21 13:44:14 GMT+08:00 2019,Fri Jun 21 14:29:14 GMT+08:00 2019,Unset,,Octopus,TRUE
Fri Jun 21 14:34:51 GMT+08:00 2019,Fri Jun 21 15:34:51 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Fri Jun 21 15:43:16 GMT+08:00 2019,Fri Jun 21 16:28:16 GMT+08:00 2019,Unset,,Bamboo,TRUE
Fri Jun 21 16:39:53 GMT+08:00 2019,Fri Jun 21 17:24:53 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Fri Jun 21 23:27:32 GMT+08:00 2019,Fri Jun 21 23:52:32 GMT+08:00 2019,Unset,,Bamboo,TRUE
Sat Jun 22 00:02:16 GMT+08:00 2019,Sat Jun 22 00:27:16 GMT+08:00 2019,Guitar,,Bamboo,TRUE
Sat Jun 22 09:51:04 GMT+08:00 2019,Sat Jun 22 10:26:04 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Sat Jun 22 11:16:14 GMT+08:00 2019,Sat Jun 22 11:51:14 GMT+08:00 2019,Unset,,Octopus,TRUE
Sat Jun 22 14:41:15 GMT+08:00 2019,Sat Jun 22 15:01:15 GMT+08:00 2019,Unset,,Star Coral,TRUE
Sun Jun 23 23:17:49 GMT+08:00 2019,Sun Jun 23 23:42:49 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Mon Jun 24 14:47:19 GMT+08:00 2019,Mon Jun 24 15:27:19 GMT+08:00 2019,Guitar,,Octopus,TRUE
Mon Jun 24 15:55:13 GMT+08:00 2019,Mon Jun 24 16:35:13 GMT+08:00 2019,Guitar,,Bamboo,TRUE
Mon Jun 24 17:08:35 GMT+08:00 2019,Mon Jun 24 17:38:35 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Mon Jun 24 18:01:26 GMT+08:00 2019,Mon Jun 24 18:31:26 GMT+08:00 2019,Guitar,,Cedar,TRUE
Tue Jun 25 19:26:38 GMT+08:00 2019,Tue Jun 25 20:01:38 GMT+08:00 2019,Guitar,,Moon Tree,TRUE
Tue Jun 25 20:17:00 GMT+08:00 2019,Tue Jun 25 20:47:00 GMT+08:00 2019,Guitar,,Bamboo,TRUE
Tue Jun 25 22:40:55 GMT+08:00 2019,Tue Jun 25 23:20:55 GMT+08:00 2019,Guitar,,Octopus,TRUE
Wed Jun 26 19:28:05 GMT+08:00 2019,Wed Jun 26 20:18:05 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Wed Jun 26 20:26:41 GMT+08:00 2019,Wed Jun 26 20:56:41 GMT+08:00 2019,Unset,,Bamboo,TRUE
Wed Jun 26 21:08:09 GMT+08:00 2019,Wed Jun 26 21:53:09 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Wed Jun 26 22:01:45 GMT+08:00 2019,Wed Jun 26 22:31:45 GMT+08:00 2019,Unset,,Cedar,TRUE
Wed Jun 26 22:46:39 GMT+08:00 2019,Wed Jun 26 23:26:39 GMT+08:00 2019,Unset,,Octopus,TRUE
Thu Jun 27 22:59:37 GMT+08:00 2019,Thu Jun 27 23:39:37 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Fri Jun 28 21:46:32 GMT+08:00 2019,Fri Jun 28 22:11:32 GMT+08:00 2019,Guitar,,Bamboo,TRUE
Sat Jun 29 10:48:06 GMT+08:00 2019,Sat Jun 29 11:48:06 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Sat Jun 29 12:06:28 GMT+08:00 2019,Sat Jun 29 12:36:28 GMT+08:00 2019,Unset,,Bamboo,TRUE
Sun Jun 30 00:39:53 GMT+08:00 2019,Sun Jun 30 01:09:53 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Sun Jun 30 23:37:07 GMT+08:00 2019,Mon Jul 01 00:07:07 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jul 01 15:34:49 GMT+08:00 2019,Mon Jul 01 16:04:49 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jul 01 18:17:24 GMT+08:00 2019,Mon Jul 01 19:07:24 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Mon Jul 01 19:51:39 GMT+08:00 2019,Mon Jul 01 20:06:39 GMT+08:00 2019,Unset,,Star Coral,TRUE
Tue Jul 02 14:43:53 GMT+08:00 2019,Tue Jul 02 15:13:53 GMT+08:00 2019,Unset,,Cedar,TRUE
Tue Jul 02 20:12:11 GMT+08:00 2019,Tue Jul 02 21:42:11 GMT+08:00 2019,Unset,,Octopus,TRUE
Tue Jul 02 23:34:23 GMT+08:00 2019,Wed Jul 03 00:04:23 GMT+08:00 2019,Kindle,,Ginkgo,TRUE
Wed Jul 03 13:20:33 GMT+08:00 2019,Wed Jul 03 13:50:33 GMT+08:00 2019,Kindle,,Moon Tree,TRUE
Thu Jul 04 00:09:39 GMT+08:00 2019,Thu Jul 04 00:39:39 GMT+08:00 2019,Kindle,,Bamboo,TRUE
Fri Jul 05 00:24:27 GMT+08:00 2019,Fri Jul 05 00:54:27 GMT+08:00 2019,Kindle,,Octopus,TRUE
Mon Jul 08 15:14:28 GMT+08:00 2019,Mon Jul 08 15:59:28 GMT+08:00 2019,Kindle,,Octopus,TRUE
Mon Jul 08 18:22:15 GMT+08:00 2019,Mon Jul 08 19:22:15 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jul 08 22:48:44 GMT+08:00 2019,Mon Jul 08 23:23:44 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Tue Jul 09 21:38:38 GMT+08:00 2019,Tue Jul 09 22:38:38 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Wed Jul 10 17:52:47 GMT+08:00 2019,Wed Jul 10 18:12:47 GMT+08:00 2019,Unset,,Star Coral,TRUE
Thu Jul 11 17:45:03 GMT+08:00 2019,Thu Jul 11 18:45:03 GMT+08:00 2019,Unset,,Cedar,TRUE
Thu Jul 11 19:43:06 GMT+08:00 2019,Thu Jul 11 20:08:06 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Thu Jul 11 21:26:30 GMT+08:00 2019,Thu Jul 11 21:56:30 GMT+08:00 2019,Unset,,Bamboo,TRUE
Fri Jul 12 18:30:42 GMT+08:00 2019,Fri Jul 12 19:30:42 GMT+08:00 2019,Unset,,Bamboo,TRUE
Fri Jul 12 19:31:30 GMT+08:00 2019,Fri Jul 12 19:56:30 GMT+08:00 2019,Unset,,Cedar,TRUE
Fri Jul 12 22:04:55 GMT+08:00 2019,Fri Jul 12 22:44:55 GMT+08:00 2019,Unset,,Bamboo,TRUE
Sat Jul 13 23:56:09 GMT+08:00 2019,Sun Jul 14 00:26:09 GMT+08:00 2019,Kindle,,Moon Tree,TRUE
Sun Jul 14 19:44:52 GMT+08:00 2019,Sun Jul 14 20:24:52 GMT+08:00 2019,Guitar,,Moon Tree,TRUE
Sun Jul 14 22:09:12 GMT+08:00 2019,Sun Jul 14 22:39:12 GMT+08:00 2019,Guitar,,Cedar,TRUE
Sun Jul 14 23:09:43 GMT+08:00 2019,Sun Jul 14 23:39:43 GMT+08:00 2019,Guitar,,Cedar,TRUE
Mon Jul 15 13:10:59 GMT+08:00 2019,Mon Jul 15 14:10:59 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Jul 15 14:14:07 GMT+08:00 2019,Mon Jul 15 14:39:07 GMT+08:00 2019,Unset,,Bamboo,TRUE
Tue Jul 16 23:57:45 GMT+08:00 2019,Wed Jul 17 00:27:45 GMT+08:00 2019,Kindle,,Cedar,TRUE
Wed Jul 17 18:35:49 GMT+08:00 2019,Wed Jul 17 19:05:49 GMT+08:00 2019,Unset,,Bamboo,TRUE
Wed Jul 17 22:11:49 GMT+08:00 2019,Wed Jul 17 22:56:49 GMT+08:00 2019,Guitar,,Bamboo,TRUE
Wed Jul 17 23:38:13 GMT+08:00 2019,Thu Jul 18 00:08:13 GMT+08:00 2019,Kindle,,Bamboo,TRUE
Thu Jul 18 16:07:04 GMT+08:00 2019,Thu Jul 18 17:07:04 GMT+08:00 2019,Unset,,Octopus,TRUE
Thu Jul 18 19:57:47 GMT+08:00 2019,Thu Jul 18 20:27:47 GMT+08:00 2019,Unset,,Octopus,TRUE
Thu Jul 18 20:28:59 GMT+08:00 2019,Thu Jul 18 20:43:59 GMT+08:00 2019,Unset,,Star Coral,TRUE
Thu Jul 18 23:01:50 GMT+08:00 2019,Thu Jul 18 23:46:50 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Fri Jul 19 00:15:19 GMT+08:00 2019,Fri Jul 19 00:45:19 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sun Jul 21 12:39:46 GMT+08:00 2019,Sun Jul 21 13:39:46 GMT+08:00 2019,Unset,,Octopus,TRUE
Sun Jul 21 13:47:18 GMT+08:00 2019,Sun Jul 21 14:47:18 GMT+08:00 2019,Unset,,Octopus,TRUE
Sun Jul 21 20:27:34 GMT+08:00 2019,Sun Jul 21 20:52:34 GMT+08:00 2019,Unset,,Octopus,TRUE
Mon Jul 22 12:53:24 GMT+08:00 2019,Mon Jul 22 13:23:24 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Mon Jul 22 16:26:06 GMT+08:00 2019,Mon Jul 22 17:26:06 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Mon Jul 22 17:29:43 GMT+08:00 2019,Mon Jul 22 17:59:43 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Mon Jul 22 23:22:58 GMT+08:00 2019,Tue Jul 23 00:14:43 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Sun Jul 28 15:19:40 GMT+08:00 2019,Sun Jul 28 16:10:57 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Sun Jul 28 16:16:44 GMT+08:00 2019,Sun Jul 28 16:47:54 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Sun Jul 28 16:49:12 GMT+08:00 2019,Sun Jul 28 18:00:21 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Sun Jul 28 18:12:45 GMT+08:00 2019,Sun Jul 28 19:13:06 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Mon Jul 29 23:35:44 GMT+08:00 2019,Tue Jul 30 00:06:32 GMT+08:00 2019,Guitar,,Doggo Tree,TRUE
Wed Jul 31 14:26:52 GMT+08:00 2019,Wed Jul 31 15:09:40 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Wed Jul 31 15:27:56 GMT+08:00 2019,Wed Jul 31 16:42:36 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Wed Jul 31 17:02:19 GMT+08:00 2019,Wed Jul 31 18:07:44 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Fri Aug 02 15:27:50 GMT+08:00 2019,Fri Aug 02 17:27:50 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Sat Aug 03 14:45:48 GMT+08:00 2019,Sat Aug 03 15:33:51 GMT+08:00 2019,Unset,,Bamboo,TRUE
Sat Aug 03 15:53:01 GMT+08:00 2019,Sat Aug 03 16:23:09 GMT+08:00 2019,Unset,,Bamboo,TRUE
Mon Aug 05 16:03:55 GMT+08:00 2019,Mon Aug 05 16:51:09 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Mon Aug 05 17:52:59 GMT+08:00 2019,Mon Aug 05 19:52:59 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Mon Aug 05 23:39:08 GMT+08:00 2019,Tue Aug 06 01:15:10 GMT+08:00 2019,Guitar,,Ginkgo,TRUE
Tue Aug 06 14:46:14 GMT+08:00 2019,Tue Aug 06 15:46:52 GMT+08:00 2019,Unset,,Ginkgo,TRUE
Wed Aug 07 19:35:29 GMT+08:00 2019,Wed Aug 07 21:05:26 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Wed Aug 07 21:05:34 GMT+08:00 2019,Wed Aug 07 21:29:47 GMT+08:00 2019,Unset,,Star Coral,TRUE
Thu Aug 08 23:48:07 GMT+08:00 2019,Fri Aug 09 00:51:08 GMT+08:00 2019,Guitar,,Cedar,TRUE
Fri Aug 09 18:41:13 GMT+08:00 2019,Fri Aug 09 19:48:46 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Sun Aug 11 23:29:43 GMT+08:00 2019,Mon Aug 12 00:01:37 GMT+08:00 2019,Unset,,Doggo Tree,TRUE
Mon Aug 12 21:47:12 GMT+08:00 2019,Mon Aug 12 22:59:21 GMT+08:00 2019,Guitar,,Cedar,TRUE
Mon Aug 12 23:37:38 GMT+08:00 2019,Tue Aug 13 00:00:39 GMT+08:00 2019,Kindle,,Star Coral,TRUE
Tue Aug 13 20:44:47 GMT+08:00 2019,Tue Aug 13 21:20:18 GMT+08:00 2019,Unset,,Bamboo,TRUE
Tue Aug 13 22:54:36 GMT+08:00 2019,Tue Aug 13 23:37:46 GMT+08:00 2019,Unset,,Bamboo,TRUE
Wed Aug 14 11:34:31 GMT+08:00 2019,Wed Aug 14 12:19:35 GMT+08:00 2019,Guitar,,Moon Tree,TRUE
Wed Aug 14 23:12:16 GMT+08:00 2019,Wed Aug 14 23:42:38 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Thu Aug 15 10:53:57 GMT+08:00 2019,Thu Aug 15 12:04:35 GMT+08:00 2019,Guitar,,Moon Tree,TRUE
Thu Aug 15 20:41:50 GMT+08:00 2019,Thu Aug 15 21:29:40 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Thu Aug 15 23:20:57 GMT+08:00 2019,Thu Aug 15 23:48:40 GMT+08:00 2019,Unset,,Moon Tree,TRUE
Fri Aug 16 22:35:24 GMT+08:00 2019,Sat Aug 17 00:02:32 GMT+08:00 2019,Unset,,Star Coral,TRUE
Sat Aug 17 12:01:27 GMT+08:00 2019,Sat Aug 17 12:50:10 GMT+08:00 2019,Unset,Macro balance of payments,Cedar,TRUE
